wo	我	900000
ni	你	850000
ta	他	800000
ta	她	700000
de	的	990000
le	了	880000
shi	是	870000
zai	在	800000
you	有	760000
he	和	750000
jiu	就	720000
bu	不	710000
ren	人	700000
dou	都	680000
yi	一	670000
yi ge	一个	500000
men	们	640000
shuo	说	620000
dao	到	610000
lai	来	600000
qu	去	590000
neng	能	580000
hui	会	570000
yao	要	560000
hao	好	550000
hen	很	540000
mei	没	530000
rang	让	520000
kan	看	510000
xiang	想	500000
qing	请	490000
bang	帮	400000
zuo	做	480000
yong	用	470000
gei	给	460000
cong	从	450000
zhe	这	440000
na	那	430000
xia	下	420000
shang	上	410000
jin tian	今天	300000
ming tian	明天	260000
xian zai	现在	250000
xie xie	谢谢	240000
ke yi	可以	230000
xu yao	需要	220000
gong zuo	工作	210000
shi jian	时间	200000
wen ti	问题	190000
wo men	我们	380000
ni men	你们	250000
ta men	他们	240000
yin wei	因为	230000
suo yi	所以	220000
dan shi	但是	210000
ru guo	如果	200000
ran hou	然后	190000
zhi dao	知道	180000
jue de	觉得	170000
kai shi	开始	160000
jie shu	结束	150000
peng you	朋友	140000
lao shi	老师	130000
xue xi	学习	120000
xiang mu	项目	110000
chan pin	产品	100000
shu ju	数据	90000
xi tong	系统	80000
ce shi	测试	70000
fa bu	发布	60000
ni hao	你好	500000
zao shang hao	早上好	200000
wan shang hao	晚上好	200000
zhong wu hao	中午好	150000
xin ku le	辛苦了	150000
mei guan xi	没关系	140000
mei wen ti	没问题	130000
shou dao	收到	120000
hao de	好的	110000
hao de xie xie	好的谢谢	100000
ming bai le	明白了	90000
deng yi xia	等一下	80000
bu hao yi si	不好意思	70000
ma fan ni	麻烦你	65000
fei chang gan xie	非常感谢	60000
shao hou lian xi	稍后联系	50000
he zuo yu kuai	合作愉快	45000
xin nian kuai le	新年快乐	40000
sheng ri kuai le	生日快乐	40000
gong xi fa cai	恭喜发财	30000
zhou mo yu kuai	周末愉快	30000
ren gong zhi neng	人工智能	80000
da yu yan mo xing	大语言模型	50000
ji qi xue xi	机器学习	40000
kai yuan she qu	开源社区	30000
kai yuan xie yi	开源协议	25000
shu ru fa	输入法	20000
chang yong yu	常用语	15000
jian tie ban	剪贴板	12000
kuai jie jian	快捷键	15000
liu lan qi	浏览器	18000
wei xin	微信	100000
zhi fu bao	支付宝	30000
shou ji hao ma	手机号码	20000
dian zi you jian	电子邮件	20000
tong xun lu	通讯录	15000
fu ze ren	负责人	12000
hui yi ji yao	会议纪要	10000
